Season,League,Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2009,Mexican League,20.0,1.45,0.46,1.74,0.54
2009,Mexican League,21.0,1.02,0.39,1.38,0.42
2009,Mexican League,22.0,1.59,0.66,1.24,0.38
2009,Mexican League,23.0,2.06,0.59,1.5,0.39
2009,Mexican League,24.0,2.01,0.69,1.42,0.29
2009,Midwest League,17.0,0.2,0.05,,
2009,Midwest League,18.0,1.69,0.43,0.91,0.22
2009,Midwest League,19.0,2.6,0.65,1.38,0.32
2009,Midwest League,20.0,2.23,0.55,1.68,0.39
2009,Midwest League,21.0,2.7,0.66,1.63,0.37
2009,Midwest League,22.0,2.59,0.64,1.39,0.33
2009,Midwest League,23.0,2.72,0.69,1.6,0.38
2009,Midwest League,24.0,2.42,0.6,1.49,0.33
2009,Pacific Coast League,19.0,2.57,0.95,,
2009,Pacific Coast League,21.0,2.53,0.64,2.2,0.52
2009,Pacific Coast League,22.0,2.9,0.75,1.53,0.3
2009,Pacific Coast League,23.0,2.96,0.7,2.2,0.52
2009,Pacific Coast League,24.0,2.2,0.55,1.98,0.57
2009,Pioneer League,16.0,1.74,0.41,,
2009,Pioneer League,17.0,3.92,0.85,,
2009,Pioneer League,18.0,1.92,0.47,2.09,0.58
2009,Pioneer League,19.0,3.16,0.76,1.54,0.28
2009,Pioneer League,20.0,3.06,0.76,1.01,0.2
2009,Pioneer League,21.0,3.39,0.82,2.0,0.41
2009,Pioneer League,22.0,2.79,0.72,1.55,0.34
2009,Pioneer League,23.0,3.3,0.83,2.13,0.5
2009,Pioneer League,24.0,7.5,1.76,,
2009,South Atlantic League,17.0,2.46,0.58,,
2009,South Atlantic League,18.0,2.35,0.57,0.99,0.21
2009,South Atlantic League,19.0,2.37,0.59,0.98,0.2
2009,South Atlantic League,20.0,2.46,0.61,1.29,0.29
2009,South Atlantic League,21.0,2.41,0.59,1.72,0.41
2009,South Atlantic League,22.0,2.13,0.54,1.35,0.32
2009,South Atlantic League,23.0,2.61,0.66,1.63,0.42
2009,South Atlantic League,24.0,1.95,0.52,1.35,0.36
2009,Southern League,19.0,3.16,0.78,1.83,0.44
2009,Southern League,20.0,1.97,0.51,1.75,0.38
2009,Southern League,21.0,1.72,0.52,1.58,0.33
2009,Southern League,22.0,2.0,0.5,1.98,0.5
2009,Southern League,23.0,2.02,0.49,1.86,0.63
2009,Southern League,24.0,2.08,0.53,1.65,0.45
2009,Texas League,19.0,1.5,0.4,,
2009,Texas League,21.0,2.59,0.63,1.56,0.33
2009,Texas League,22.0,3.03,0.69,1.78,0.53
2009,Texas League,23.0,2.83,0.69,1.83,0.46
2009,Texas League,24.0,2.49,0.6,1.82,0.49
2009,Venezuelan Summer League,16.0,1.33,0.37,1.91,0.49
2009,Venezuelan Summer League,17.0,2.09,0.58,1.44,0.36
2009,Venezuelan Summer League,18.0,2.22,0.62,1.65,0.38
