Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2019,Colby Schultz,KCR,A+,24,76,234,267,53,40,10,1,2,22,22,24,0,55,3,3,3,1,4,7,0.226495726,sa3007099
2019,Grant Fennell,CHC,A+,23,97,329,381,82,58,18,1,5,42,50,41,1,102,5,6,0,11,2,1,0.249240121,sa3007100
2022,Daiwer Castellanos,TBR,A,21,32,116,121,32,26,5,1,0,14,15,4,0,14,0,0,1,3,7,1,0.275862068,sa3007302
2022,David Hollie,KCR,A,22,32,108,122,26,15,6,2,3,19,13,9,0,50,4,1,0,2,8,1,0.24074074,sa3007304
2023,David Hollie,KCR,A,23,21,60,80,9,3,0,0,6,11,12,13,0,26,7,0,0,1,8,0,0.15,sa3007304
2021,Gage Hughes,KCR,A,21,58,188,216,40,27,8,1,4,26,18,16,0,42,5,3,4,1,7,1,0.212765957,sa3007311
2022,Gionti Turner,TBR,A,21,28,86,98,15,14,1,0,0,10,7,8,0,33,3,1,0,1,4,1,0.174418604,sa3007326
2022,Dawson Dimon,TBR,A,23,13,43,51,6,4,1,1,0,4,6,7,0,17,0,1,0,1,0,0,0.139534883,sa3007331
2023,Dawson Dimon,ATL,A,24,55,170,202,26,19,6,0,1,18,17,27,0,70,2,3,0,6,2,0,0.152941176,sa3007331
2019,Connor Smith,CLE,A+,22,25,82,97,20,18,2,0,0,7,5,12,0,26,2,1,0,3,2,0,0.243902439,sa3007514
2019,Patrick Dorrian,BAL,A+,23,51,189,204,44,32,7,1,4,22,24,13,0,50,0,2,0,7,0,0,0.232804232,sa3007629
2019,D.J. Artis,CHC,A+,22,10,40,42,10,10,0,0,0,3,1,2,0,11,0,0,0,0,1,3,0.25,sa3007632
2019,Scott Schreiber,HOU,A+,23,72,257,275,54,29,16,2,7,30,30,15,1,87,1,1,1,8,4,4,0.210116731,sa3007637
2019,Kyle Marinconz,WSN,A+,23,7,23,24,4,4,0,0,0,2,2,0,0,6,1,0,0,0,0,0,0.173913043,sa3007638
2021,Nick Schnell,TBR,A,21,52,190,227,33,21,4,0,8,35,29,31,0,73,4,2,0,2,13,2,0.17368421,sa3007639
2022,Nick Schnell,TBR,A,22,38,140,164,36,24,9,0,3,25,19,20,0,57,0,2,2,1,1,3,0.257142857,sa3007639
2021,Nicholas Northcut,BOS,A,22,96,345,402,90,39,32,2,17,68,77,46,0,91,5,5,1,4,0,0,0.260869565,sa3007640
2019,Elih Marrero,BOS,A+,22,15,47,50,9,6,2,0,1,3,3,3,0,8,0,0,0,0,0,0,0.191489361,sa3007822
2022,Malcom Quintero,CHC,A,21,34,115,137,26,20,5,0,1,18,17,18,0,42,0,3,1,3,1,1,0.226086956,sa3007827
2023,Malcom Quintero,CHC,A,22,21,48,62,10,7,1,0,2,10,5,11,0,14,3,0,0,1,2,0,0.208333333,sa3007827
2019,Tyler Durna,CHC,A+,22,24,87,95,22,17,5,0,0,14,10,4,0,15,4,0,0,1,1,0,0.252873563,sa3007879
2023,Jesus Moreno,TEX,A,22,25,78,93,9,7,1,0,1,7,3,13,0,43,2,0,0,0,0,0,0.115384615,sa3007914
2024,Jesus Moreno,TEX,A,23,7,20,23,1,0,0,0,1,1,2,3,0,9,0,0,0,0,0,0,0.05,sa3007914
